Incident.Date,State,CityCounty,Address,Killed,Injured
23-Apr-18,North Carolina,Franklin,Sugar Fork Rd,0,0
23-Apr-18,North Carolina,Raleigh,4000 block of Green Rd,0,1
23-Apr-18,North Carolina,Benson,W Pope St,0,0
23-Apr-18,North Carolina,Greensboro,Hickory Tree Ln and Perth Pl,0,1
23-Apr-18,North Carolina,Kinston,2100 block of Old Snow Hill Rd,0,1
23-Apr-18,North Carolina,Charlotte,1100 Eastway Dr,0,0
22-Apr-18,North Carolina,Monroe,611 W Roosevelt Blvd,1,3
22-Apr-18,North Carolina,Henderson,Brunswick Ln,1,0
22-Apr-18,North Carolina,Kinston,801 N McLewean St,0,1
22-Apr-18,North Carolina,Wilson,1800 block of Freeman St,0,0
21-Apr-18,North Carolina,Greensboro,6372 Townsend Rd,0,1
21-Apr-18,North Carolina,Fayetteville,700 block of Harveydale Dr,0,1
21-Apr-18,North Carolina,Asheville,Wilbar Ave,1,1
21-Apr-18,North Carolina,Salisbury,1812 E Innes St,1,0
21-Apr-18,North Carolina,Thomasville,260 Twin Lakes Dr,1,1
21-Apr-18,North Carolina,Kinston,800 block of W Highland Ave,0,1
21-Apr-18,North Carolina,Asheville,508 Riverview Dr,0,1
20-Apr-18,North Carolina,Supply,Shade Tree Ln,0,0
20-Apr-18,North Carolina,Charlotte,1500 block of Wembley Dr,1,0
20-Apr-18,North Carolina,Greensboro,3300 block of Beck St,1,0
19-Apr-18,North Carolina,Charlotte,9200 block of Harrisburg Rd,0,1
19-Apr-18,North Carolina,Kinston,E Daniels St,0,1
19-Apr-18,North Carolina,Bolivia,1200 block of Zack St,0,0
19-Apr-18,North Carolina,Shelby,3125 W Zion Church Rd,0,0
19-Apr-18,North Carolina,Elizabeth City,Halstead Blvd Ext,0,2
19-Apr-18,North Carolina,Greensboro,1515 Randolph Ave,0,1
18-Apr-18,North Carolina,Matthews,3000 block of Rainbow Ridge Drive,0,0
18-Apr-18,North Carolina,Rockingham,Maner Rd,1,2
18-Apr-18,North Carolina,Asheville,73 Hansel Ave,4,3
17-Apr-18,North Carolina,Winston Salem (Winston-salem),3460 Robinhood Rd,0,0
17-Apr-18,North Carolina,High Point,1908 Franklin Ave,2,0
17-Apr-18,North Carolina,Charlotte,5709 Electra Ln,0,1
17-Apr-18,North Carolina,New Bern,Sampson St,0,1
17-Apr-18,North Carolina,Jacksonville,Meadow Oak Ct,0,0
17-Apr-18,North Carolina,Laurinburg,Aberdeen Rd,0,1
16-Apr-18,North Carolina,Raleigh,4600 block of Dansey Dr,1,0
16-Apr-18,North Carolina,Lexington,1555 NC 150 S,0,0
16-Apr-18,North Carolina,Connelly Springs,Maple Grove Ave,0,0
16-Apr-18,North Carolina,Madison,325 Nell Rd,0,1
16-Apr-18,North Carolina,Bakersville,Odoms Chapel Rd,1,0
16-Apr-18,North Carolina,Raleigh,Technology Woods Dr,0,1
15-Apr-18,North Carolina,Greensboro,1316 Maple St,1,0
15-Apr-18,North Carolina,Durham,4600 block of Carlton Crossing Dr,1,1
15-Apr-18,North Carolina,Bethel,5011 NC 11 N,0,1
15-Apr-18,North Carolina,Charlotte,3000 block of Timberbrook Dr,1,0
